Job Nature,Position Level,Job Category,Qualification,Salary,Company,Title,Description
"Permanent, Contract",Entry Level,"

IT-Hardware, 
    
IT-Administration, 
    
Electrical/Electronics, 
    
Mechanical, 
    
Product Development/Management

","Diploma, Bachelor's / Honours, Masters / PhD",0.0,GLOBALFOUNDRIES Singapore Pte. Ltd.,Principal Engineer Integration & Yield,"['To formulate and drive process improvement plan based on systematic analysis of inline/ET/yield data to meet quality and yield targets.', '\xa0PHD/Masters/Degree in Microelectronics/Electrical/Electronics Engineering or Science in Physics/Chemistry/Material Science or related field', '', '']"
"Permanent, Contract",Entry Level,"

IT-Hardware, 
    
IT-Administration, 
    
IT-Management, 
    
IT-Software/Development, 
    
Product Development/Management

","Diploma, Bachelor's / Honours, Masters / PhD",0.0,GLOBALFOUNDRIES Singapore Pte. Ltd.,Engineer Integration & Yield,[]
"Permanent, Contract",Entry Level,"

IT-Hardware, 
    
IT-Administration, 
    
IT-Management, 
    
IT-Software/Development, 
    
Product Development/Management

","Diploma, Bachelor's / Honours, Masters / PhD",0.0,GLOBALFOUNDRIES Singapore Pte. Ltd.,Engineer Integration & Yield,[]
"Contract, Temporary","Entry Level, Experienced","

Call Centre, 
    
Clerical/Admin, 
    
Data Entry, 
    
Pharmaceutical

","'N' Levels / 'O' Levels, ITE/ NITEC/ Higher NITEC, Diploma","

        1,200 SGD - 1,800 SGD / Year
      
      
",Recruit Express Pte Ltd,"Admin Assistant (islandwide, Office Hours) *IMMEDIATE*","['we are hiring temp/contract Admin Assistant to be outsourced to our client’s place\n\xa0\n\n', 'Want to gain some experience in HR ? ', '\xa0', 'APPLY FOR A JOB NOW!!! ', '\xa0', '------------------------------------------------------------------------ ', '\xa0', 'Job Description ', '\n• Drafting of emails and sending it out to clients/various personnels\n• Administrative duties; clerical/data entry and filing\n• Coordinate interviews between employers and employees\n• Ad hoc duties assigned', '\xa0', 'Requirements ', '\n• Min O/A/Diploma/Degree in any discipline\n• Available immediately or within short notice period\n•\xa0Some experience in Admin/HR Admin a Bonus!\xa0 \n• Training will be provided !', '------------------------------------------------------------------------', '\xa0', '\xa0\xa0 Healthcare & Life Sciences Industry.. ', '..the Place to be !!!\n\n\n\n', '', '', '']"
"Permanent, Contract","Entry Level, Experienced","

IT-Software/Development

","Diploma, Bachelor's / Honours",0.0,VitalOne,Full Stack Developer,"['', '', 'Requirements', '\xa0', 'Interested candidates, please forward your detailed resume stating your expected salary to\xa0[Click Here to Email Your Resume]', '']"
"Contract, Temporary","Entry Level, Student Job","

Clinical/Medical, 
    
Medical/Life Science

","Diploma, Bachelor's / Honours",0.0,Recruit Express Pte Ltd,"6 Months Temp Lab Technician (Central, $18/hr)",[]
0.0,0.0,0.0,"'N' Levels / 'O' Levels, ITE/ NITEC/ Higher NITEC, 'A' Levels, Diploma, Bachelor's / Honours, Masters / PhD",0.0,United Overseas Bank Ltd (UOB),"Manager, Balance Sheet Risk Management (Projects)",[]
"Contract, Temporary","Entry Level, Experienced","

Call Centre, 
    
Clerical/Admin, 
    
Data Entry, 
    
Receptionist

","'N' Levels / 'O' Levels, ITE/ NITEC/ Higher NITEC, Diploma","

        1,200 SGD - 1,800 SGD / Year
      
      
",Recruit Express Pte Ltd,Admin Assistant (Healthcare/ Office hours) *IMMEDIATE* *UP TO 2K!,"['We are hiring temp/contract Admin Assistant to be outsourced to our client’s place\n\xa0', '\xa0', 'APPLY FOR A JOB NOW!!! ', '\xa0', '------------------------------------------------------------------------ ', '\xa0', 'Job Descriptions:', '\xa0', 'Job Requirements:', '\n• Min O/A/Diploma in any discipline\n• Available immediately or within short notice period\n•\xa0Some experience in Admin/HR Admin a Bonus!\xa0 \n• Training will be provided !\n• 3 or 6 months temp job is available as well!\n', '------------------------------------------------------------------------', '\xa0', '\xa0\xa0 Healthcare & Life Sciences Industry.. ', '..the Place to be !!!\n\n\n\n', '', '', '']"
"Contract, Temporary","Entry Level, Experienced","

Call Centre, 
    
Clerical/Admin, 
    
Customer Service, 
    
Data Entry

","'N' Levels / 'O' Levels, ITE/ NITEC/ Higher NITEC, Diploma","

        1,200 SGD - 1,900 SGD / Month
      
      
",Recruit Express Pte Ltd,"ADMIN ASSISTANT (Office hours, Islandwide) **IMMEDIATE**","['\xa0', 'APPLY FOR A JOB NOW!!! ', '', '\xa0', 'Job Description ', '\xa0', 'Requirements ', '\n• Min N Level/Diploma/Degree in any discipline\n• Available immediately or within short notice period\n•\xa0Some experience in Admin would be a bonus!\n• Training will be provided !', '', '\xa0', '\xa0\xa0 Healthcare & Life Sciences Industry.. ', '..the Place to be !!!\n\n\n', 'Interested applicants please send your resume to [Click Here to Email Your Resume]\n\nOR\n\n\nCall Janice @ 67363280\n\nKevyn Huang Jingsheng\xa0\nR1333338', '', '']"
"Permanent, Contract",Entry Level,"

IT-Hardware, 
    
IT-Administration, 
    
IT-Management, 
    
IT-Software/Development

","Diploma, Bachelor's / Honours, Masters / PhD",0.0,GLOBALFOUNDRIES Singapore Pte. Ltd.,Principal Engineer MEMS,"['', '#LI-VL1']"
Permanent,Entry Level,"

IT-Hardware, 
    
IT-Administration, 
    
IT-Management, 
    
IT-Software/Development, 
    
Product Development/Management

","'N' Levels / 'O' Levels, ITE/ NITEC/ Higher NITEC, 'A' Levels, Diploma, Bachelor's / Honours, Masters / PhD",0.0,Micron Semiconductor Asia,MCT BE Operations Improvement Engineer,"['', 'Req. ID: 119354\xa0', 'As an Operations Improvement (OI) Engineer in Back End Manufacturing Central Team (MCT) Team, you will be responsible for driving all customers’ requirement in manufacturing efficiency projects to optimize cycle time, capital efficiency, and factory scheduling & automation. In this role, you will also engage with internal and external teams to develop planning and scheduling models to improve production metrics for all Back End Manufacturing areas.', 'Responsibilities: ', 'Requirements:', 'Successful candidates for this position will have:', ""\n We recruit, hire, train, promote, discipline and provide other conditions of employment without regard to a person's race, color, religion, sex, age, national origin, disability, sexual orientation, gender identity and expression, pregnancy, veteran’s status, or other classifications protected under law. \xa0This includes providing reasonable accommodation for team members' disabilities or religious beliefs and practices."", '\n Each manager, supervisor and team member is responsible for carrying out this policy. The EEO Administrator in Human Resources is responsible for administration of this policy. The administrator will monitor compliance and is available to answer any questions on EEO matters.', '\n To request assistance with the application process, please contact Micron’s Human Resources Department at 1-800-336-8918 (or 208-368-4748).', '\n Keywords: \xa0Singapore || Central Singapore (SG-01) || Singapore (SG) || Backend Manufacturing || Experienced || Regular || Manufacturing/Production Operations || Not Applicable ||\n \xa0', '\nJob Segment: \n Operations Manager, Manufacturing Engineer, Engineer, Sales Consultant, Operations, Engineering, Sales\n \n \n ']"
Permanent,Experienced,"

IT-Hardware

",Diploma,"

        4,000 SGD - 5,000 SGD / Year
      
      
",Infinite Computer Solutions Pte. Ltd.,Network Support Analyst,"['Education\xa0\n\n', 'Diploma in IT/Computer Science', 'EA License No. - 14C6941', '']"
"Contract, Temporary","Entry Level, Experienced","

Clerical/Admin, 
    
Clinical/Medical, 
    
Government Sector/Civil Service, 
    
Medical/Life Science

",Bachelor's / Honours,"

        2,100 SGD - 2,400 SGD / Month
      
      
",ScienTec Personnel,Govt Executive (Healthcare) - $13 per hour / Outram Park / Contract,[]
Permanent,"Entry Level, Experienced","

IT-Hardware, 
    
IT-Administration, 
    
IT-Management, 
    
IT-Software/Development

","Diploma, Bachelor's / Honours",0.0,Haulio Pte Ltd,REACTJS DEVELOPER,"['As a developer, you play an important role in the product success of Haulio. While our Haulio transaction volume increases day by day, the Haulio product needs to expand further, reaching into multiple disciplines – such as web front-end development, backend architecture, containerization, IoT networking, security, data analysis and prediction analytics as well as storage optimization and scaling. Chances to learn and grow beyond your current expertise will be abundant for you.\n\nThe developer would be someone with expert level JavaScript and ReactJs Experience. This is a fast-paced position that requires a high degree of energy and ability to focus without compromising quality. We are looking for a candidate who likes to learn and will continue to grow their technology skills and mentor others.\xa0\n\nResponsibilities:', 'Requirements:']"
0.0,0.0,0.0,0.0,0.0,0,0,"['Are you looking for a challenging and exciting career in the recruitment industry? If you love to meet new people, wish to derive personal satisfaction when there are successful job matches and are able to assist candidates in attaining their dream jobs, \nWE WANT YOU! JOIN US NOW!\n\nAt Success Human Resource Centre, we are constantly seeking passionate individuals who are team players with leadership qualities. We offer our employees not just a job but an exciting career with limitless opportunities. Beyond excellent career prospects and competitive remuneration packages, we continuously encourage exceptional performance through professional training, career development, and other reward and recognition schemes. We provide our employees with a conducive working environment, encourage creativity, innovation, enhance personal and corporate effectiveness as well as efficiency.\n\nIf you share our values and goals, and have what it takes to succeed, email your resume to resume@successhrc.com.sg. Alternatively, we also welcome you to drop by for a walk-in interview at: 1 Sophia Road, #06-23/29 Peace Centre Singapore 228149\n', '', 'Permanent Associate Executive, Quality Assurance (Healthcare Industry) - Outram', '• Permanent\n• Mon – Thurs: 8.30am – 6.00pm', '• Fri: 8.30am – 5.30pm\n• Outram', '', '\nResponsibilities: ', '• Perform administrative and clinical data support duties for the smooth running of Quality Assurance operations', '• Coordinate day-to-day activities of the office', '• Assist in the facilitation of meetings, training programmes, and events organized by the department', '• Provide secretarial support at meetings, trainings, and other special events as required', '• Perform data entry for clinical pathways', '• Prepare reports for performance indicators and assist in the facilitation of quality improvement projects ', '', '\nPeriod:\n• Permanent ', '', '\nWorking hours: ', '• Mon – Thurs: 8.30am – 6.00pm', '• Fri: 8.30am – 5.30pm', '', '\nLocation:\n• Outram', '\nRequirements:\n• Diploma in Nursing or Health Sciences is preferred, with at least 2 years’ relevant working experience', '• A team player with good interpersonal skills and able to multi-task and work efficiently in a dynamic and fast-paced environment', '• Proficiency in Microsoft Office and statistical tools such as SPSS/ QI Macros will be an advantage', '\nInterested applicants, kindly email your detailed resume (MS Word format is preferred):\n\n', 'joanna@successhrc.com.sg (Reg No: R1107386)', '', '\nPlease ensure that applications sent through email are no bigger than 1Mb.', '\nWe thank all applicants for your interest but regret to inform that only shortlisted candidates would be notified.', '']"
Permanent,Experienced,"

IT-Hardware, 
    
IT-Administration, 
    
IT-Management, 
    
IT-Software/Development

","Diploma, Bachelor's / Honours","

        3,500 SGD - 4,500 SGD / Year
      
      
",Veolia Singapore,IT Administrator,"['', 'To provide server & network administration as primary role and helpdesk support as a secondary role for Veolia Singapore. \n\n', '', 'Job Description:\n\n ', '', '', '', '\n\nJob Requirements:\n\n ', '', '', '\nInterested candidates are requested to submit application online or email full CV with detailed experiences of previous projects, photo stating current and expected salary, availability date, etc. to [Click Here to Email Your Resume];\xa0\n\xa0\n\n', '', 'Successful candidate will be working in the main office located at 17 Tuas Avenue 12 Singapore 639037. \xa0Company transport is provided.']"
Permanent,Entry Level,"

IT-Hardware, 
    
IT-Administration, 
    
IT-Management, 
    
IT-Software/Development, 
    
Product Development/Management

","'N' Levels / 'O' Levels, ITE/ NITEC/ Higher NITEC, 'A' Levels, Diploma, Bachelor's / Honours, Masters / PhD",0.0,Micron Semiconductor Asia,MCT Yield Enhancement Senior Engineer,"['', 'Req. ID: 96961\xa0', 'Manufacturing Central Team Yield Enhancement Senior/Principle Engineer', '', 'The position is part of Micron’s front-end manufacturing\xa0central team (MCT PIE). You will be part of the Yield Enhancement (YE) group, which is responsible to ensure all Micron manufacturing sites have world class yield analytics in place. You will collaborate with R&D, IT, external partners and vendors to define and establish best-in-class methods for yield analysis and data-mining tools. You will work with individual manufacturing sites across US, Taiwan, Singapore and Japan to continuously evolve and enhance best practices. You will be responsible to implement new methodologies and to support yield ramping of new memory technologies to meet the market volatility.', '', 'Required qualifications:', 'Additional qualifications that are desired:', '', 'Location: 1 North Coast Drive, Singapore 757432', ""\n We recruit, hire, train, promote, discipline and provide other conditions of employment without regard to a person's race, color, religion, sex, age, national origin, disability, sexual orientation, gender identity and expression, pregnancy, veteran’s status, or other classifications protected under law. \xa0This includes providing reasonable accommodation for team members' disabilities or religious beliefs and practices."", '\n Each manager, supervisor and team member is responsible for carrying out this policy. The EEO Administrator in Human Resources is responsible for administration of this policy. The administrator will monitor compliance and is available to answer any questions on EEO matters.', '\n To request assistance with the application process, please contact Micron’s Human Resources Department at 1-800-336-8918 (or 208-368-4748).', '\n Keywords: \xa0Singapore || North West (SG-03) || Singapore (SG) || Frontend Manufacturing || Experienced || Regular || Engineering || #LI-SING\xa0 ||\n \xa0', '\nJob Segment: \n Semiconductor, Engineer, Manufacturing Engineer, Compliance, Application Developer, Science, Engineering, Legal, Technology\n \n \n ']"
Permanent,Experienced,"

IT-Administration, 
    
IT-Management, 
    
IT-Software/Development

","Bachelor's / Honours, Masters / PhD","

        3,200 SGD - 6,000 SGD / Month
      
      
",ES Recruitment Pte Ltd,Senior / IoT Cloud Engineer x 2 (East),[]
Permanent,"Entry Level, Experienced","

Call Centre, 
    
Consumer Services, 
    
Customer Service, 
    
Nursing/Support

","Diploma, Bachelor's / Honours","

        2,000 SGD - 2,500 SGD / Month
      
      
",i-vic International Pte Ltd,Consumer Care Line Executive,"['Remuneration Package:', 'Responsibilities:', 'Requirements:', 'Additional Information:', '', 'Interested applicants may write in to [Click Here to Email Your Resume]', 'Only shortlisted candidates will be contacted in due course']"
"Permanent, Contract","Entry Level, Experienced","

Advertising/Media Buying, 
    
Corporate Communications/Public Relations, 
    
Editorial/Journalism, 
    
Publishing

","Diploma, Bachelor's / Honours",0.0,InsightMatrix,Media Associate (Full-Time),"['Media Associate (Full-Time)', '\xa0', ' Key responsibilities: ', '\n\n', '', '']"
Permanent,Experienced,"

Business Development, 
    
Research & Development (R&D)

","'N' Levels / 'O' Levels, ITE/ NITEC/ Higher NITEC, 'A' Levels, Diploma, Bachelor's / Honours, Masters / PhD",0.0,Keysight Technologies,Senior R&D Technician,"[""Keysight is the world's leading electronic measurement company, helping scientists and engineers address their toughest technical challenges with confidence through innovations in wireless, modular, and software solutions. Our employees leverage their insight and passion to deliver measurement solutions in wireless communications, aerospace and defense, and semiconductor markets with world-class platforms, software and consistent measurement science."", 'This job will be part of the Electronic Industrial Solutions Group, which provides test and measurement solutions across a broad set of electronic industrial end markets, focusing on high-growth applications in the automotive and energy industries, and measurement solutions for consumer electronics, education and manufacturing, as well as semiconductor parametric testing, nano-positioning metrology and material science. The group provides electronic design and test software, instruments, and systems used in the simulation, design, validation, manufacturing, installation and optimization of electronic equipment.', '', '', 'Job Description', '', 'At Keysight, we help companies address their toughest challenges with precision and confidence. We offer the most precise electronic measurement tools in the industry, with advanced software to match. Our employees leverage their insight and passion to revolutionize electronic measurements and make a difference in the world.', 'Keysight Singapore Center of Excellence is expanding in the areas of next generation hardware and software used in electronic product design and test for customers around the world. We are looking for people with a desire to be at the leading edge of innovative test technologies and has passion for creating new innovations. In addition, you will have the opportunity to lead/participate in the development of projects in the area of cyber security, data analytic, test and measurement products.', 'With strong collaborations & partnerships with local universities here in Singapore, the center will attract top local graduates from computer science, artificial intelligence, systems programming and electrical/electronic/computer engineering schools.', 'Responsibilities', '', '', '', 'Job Qualifications', '', '', '', '', 'Job Function', 'R&D', '', '', '', '', 'Shift:']"
Permanent,"Experienced, Manager","

Digital/Online Marketing, 
    
Editorial/Journalism

","'A' Levels, Diploma, Bachelor's / Honours","

        2,000 SGD - 3,000 SGD / Month
      
      
",Changi Travel Services Pte Ltd (100% Owned subsidiary of Changi),"Digital Editor, English (Based in Changi Airport)","['We are looking for someone to oversee and provide guidance to the daily operations of the digital newsroom, from conceptualizing stories for the online space to ensuring that quality of journalism (both text and video) adhere to the highest standards.\xa0', '\xa0', 'Job Responsibilities', '\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\nRequirements:', '\xa0', 'Please indicate the following in resume ', '\xa0', 'We thank all candidates for writing in and regret that only shortlisted candidates and/or candidate w/ completed application as above will be notified. ', '\nAll applications will be handled with strict confidentiality.']"
Permanent,Experienced,"

Customer Service, 
    
IT-Software/Development

","Diploma, Bachelor's / Honours",0.0,iqDynamics Pte Ltd,Customer Engineer,"['Responsibilities:  ', '\xa0', 'Requirements: ']"
Permanent,Entry Level,"

IT-Hardware, 
    
IT-Administration, 
    
IT-Management, 
    
IT-Software/Development, 
    
Product Development/Management

","'N' Levels / 'O' Levels, ITE/ NITEC/ Higher NITEC, 'A' Levels, Diploma, Bachelor's / Honours, Masters / PhD",0.0,Micron Semiconductor Asia,Fab10 Yield Enhancement Engineer,"['', 'Req. ID: 90402\xa0', 'Responsibilities:', '\n•\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0 Perform detail data analysis using various statistical/data mining tools to identify process root cause and fail mechanism of yield issues.\xa0', '\n•\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0 Work closely with Process Integration and Process & Equipment engineer to provide timely yield feedback to enable fast yield ramp to mature.\xa0', '\n•\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0 Use knowledge of semiconductor device physics, electronics and semiconductor manufacturing process to explain and resolve yield issues.\xa0', '\n•\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0 Participate in multi-area problem solving focus team to provide yield and failure analysis expertise to troubleshoot complex yield problems\xa0', '\n•\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0 Prepare detail and clear yield indices and reports/pareto of yield deviation to the Fab team to provide the direction of process improvements.\xa0', '\n•\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0 Serve as a key role in identifying and implementing new methods for yield analysis, and working with Yield Enhancement team to continuous improve YE process efficiencies.\xa0', '\n•\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0 Engage other sister Fabs to shares Best Known Methods (BKM) and yield learning\xa0', '\n•\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0 Coordinate in all Failure Analysis activities and characterization to narrow down process root cause of yield deviation and limiters.\xa0', '\n•\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0 Support transfer of next generation technology from R&D to production Fab as and when necessary\xa0', '\n•\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0 Work closely with RDA to identify and minimize inline defect gaps to end-of-line fails, and support them to provide inline die-loss for all defect related yield limiters\xa0', '\n•\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0 Mentor YE technician on daily yield analysis operation.', '', 'Requirements:\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0', '\n•\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0 Bachelor’s or Master degree, preferred in one of the following: Electrical Engineering, Materials Science, Physics or related discipline and/or equivalent experience\xa0', '\n•\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0 Possess a good understanding of Semiconductor processes, especially in NAND Flash structure and function\xa0', '\n•\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0 Excellent verbal and written communication skills and the ability to present data in large meetings\xa0', '\n•\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0 Excellent interpersonal skills with the ability to work with people at all levels\xa0', '\n•\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0 Excellent organizational skills with a strong attention to detail\xa0', '\n•\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0 Possess good teamwork skills and strong multi-tasking capability\xa0', '\n•\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0 Strong knowledge of Fab process, good analytical and problem solving skills\xa0', '\n•\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0 Strong understanding of electrical testing and characterization and device physics with a FLASH background\xa0', '\n•\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0 Proficient in Microsoft Office and applications including JMP and UNIX\xa0', '\n•\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0 Possess experience in SEM, FIB, and emission microscope', '', 'Working Location:\xa0\n 1 North Coast Drive/1 Woodlands Industrial Park D, St 1', ""\n We recruit, hire, train, promote, discipline and provide other conditions of employment without regard to a person's race, color, religion, sex, age, national origin, disability, sexual orientation, gender identity and expression, pregnancy, veteran’s status, or other classifications protected under law. \xa0This includes providing reasonable accommodation for team members' disabilities or religious beliefs and practices."", '\n Each manager, supervisor and team member is responsible for carrying out this policy. The EEO Administrator in Human Resources is responsible for administration of this policy. The administrator will monitor compliance and is available to answer any questions on EEO matters.', '\n To request assistance with the application process, please contact Micron’s Human Resources Department at 1-800-336-8918 (or 208-368-4748).', '\n Keywords: \xa0Singapore || North West (SG-03) || Singapore (SG) || Frontend Manufacturing || Entry || Regular || Manufacturing/Production Operations || #LI-SING\xa0 ||\n \xa0', '\nJob Segment: \n Semiconductor, Manufacturing Engineer, Electronics Engineer, Engineer, Electrical, Science, Engineering\n \n \n ']"
Permanent,Entry Level,"

IT-Hardware, 
    
IT-Administration, 
    
IT-Management, 
    
IT-Software/Development, 
    
Product Development/Management

","'N' Levels / 'O' Levels, ITE/ NITEC/ Higher NITEC, 'A' Levels, Diploma, Bachelor's / Honours, Masters / PhD",0.0,Micron Semiconductor Asia,SENIOR PACKAGE RELIABILITY EFA ENGINEER,"['', 'Req. ID: 118742\xa0', 'As a GQ (Global Quality) Package Reliability Senior EFA Engineer at Micron Technology Inc., you will be responsible for ensuring best-in-class package quality and reliability for one of Micron’s product lines. This responsibility includes qualification of new products and package technologies; including new designs, materials, and processes.', '', 'You will also be responsible for Electrical Failure Analysis assessment and provide input based on EFA to dispose\xa0non-conforming material during high-volume manufacturing; including reliability risk assessment and validation of corrective and preventive actions. You are expected to understand customer', '', 'New Product Qualification', '', 'Manage Reliability for SWRs, Excursion, Conversion for Internal and External Customers', '', 'Manage Customer(RPM), Internal (IPM), Quality( AQL, ELFR) Reliability Monitor', '', 'Qualification Requirements:', '', '', 'Location: \xa0MSB - 990 Bendemeer Road, Singapore 339942', '', ""\n We recruit, hire, train, promote, discipline and provide other conditions of employment without regard to a person's race, color, religion, sex, age, national origin, disability, sexual orientation, gender identity and expression, pregnancy, veteran’s status, or other classifications protected under law. \xa0This includes providing reasonable accommodation for team members' disabilities or religious beliefs and practices."", '\n Each manager, supervisor and team member is responsible for carrying out this policy. The EEO Administrator in Human Resources is responsible for administration of this policy. The administrator will monitor compliance and is available to answer any questions on EEO matters.', '\n To request assistance with the application process, please contact Micron’s Human Resources Department at 1-800-336-8918 (or 208-368-4748).', '\n Keywords: \xa0Singapore || Central Singapore (SG-01) || Singapore (SG) || Quality || Experienced || Regular || Engineering || Not Applicable ||\n \xa0', '\nJob Segment: \n Package Design, Manufacturing Engineer, Engineer, Electronics Engineer, Electrical, Manufacturing, Engineering\n \n \n ']"
Permanent,Entry Level,"

IT-Hardware, 
    
IT-Administration, 
    
IT-Management, 
    
IT-Software/Development, 
    
Product Development/Management

","'N' Levels / 'O' Levels, ITE/ NITEC/ Higher NITEC, 'A' Levels, Diploma, Bachelor's / Honours, Masters / PhD",0.0,Micron Semiconductor Asia,FRONTEND MANUFACTURING QUALITY ASSURANCE ENGINEER,"['', 'Req. ID: 120584\xa0', 'Job responsibilities', '', 'Requirements', '', '', 'GJS: E1-E3', 'Hiring Manager: MIGUEL DE LIMA YAMBOT', 'Closing Date: Until Filled', 'Site: F10N, 1 North Coast Drive, Singapore 757432', '', ""\n We recruit, hire, train, promote, discipline and provide other conditions of employment without regard to a person's race, color, religion, sex, age, national origin, disability, sexual orientation, gender identity and expression, pregnancy, veteran’s status, or other classifications protected under law. \xa0This includes providing reasonable accommodation for team members' disabilities or religious beliefs and practices."", '\n Each manager, supervisor and team member is responsible for carrying out this policy. The EEO Administrator in Human Resources is responsible for administration of this policy. The administrator will monitor compliance and is available to answer any questions on EEO matters.', '\n To request assistance with the application process, please contact Micron’s Human Resources Department at 1-800-336-8918 (or 208-368-4748).', '\n Keywords: \xa0Singapore || North West (SG-03) || Singapore (SG) || Quality || Experienced || Regular || Engineering || #LI-KL1 ||\n \xa0', '\nJob Segment: \n Semiconductor, Industrial, Quality Engineer, Science, Manufacturing, Quality, Engineering\n \n \n ']"
0.0,Experienced,"

Assembly/Process/Production, 
    
Pharmaceutical, 
    
Quality Control/Assurance, 
    
Sciences

",0.0,0.0,Illumina Singapore Pte Ltd,Engineer 2 - Process Development (Product Engineer),"['Summary', 'We are looking for driven, motivated Product Engineers to join our growing Life Cycle Management (LCM) team to support the development and manufacture of sequencing and genotyping consumables.\xa0 The Product Engineer will partner with Manufacturing, Process Engineering, Quality, Supply Chain, and R&D to sustain and improve delivered products, ensuring our customers are getting the best consumables on the market.', 'Tasks and Responsibilities', 'All listed tasks and responsibilities are deemed as essential functions to this position; however, business conditions may require reasonable accommodations for additional task and responsibilities.', 'Education', 'Requirements', 'Competencies', '', '']"
"Permanent, Contract",Entry Level,0.0,"Diploma, Bachelor's / Honours, Masters / PhD",0.0,GLOBALFOUNDRIES Singapore Pte. Ltd.,Staff Business Sys Analysis,['']
Permanent,Entry Level,"

IT-Hardware, 
    
IT-Administration, 
    
IT-Management, 
    
IT-Software/Development, 
    
Product Development/Management

","'N' Levels / 'O' Levels, ITE/ NITEC/ Higher NITEC, 'A' Levels, Diploma, Bachelor's / Honours, Masters / PhD",0.0,Micron Semiconductor Asia,Fab10 TEM Senior Engineer,"['', 'Req. ID: 119215\xa0', 'Your responsibilities will include, but are not limited to, the following:\xa0', 'Requirements:', ""\n We recruit, hire, train, promote, discipline and provide other conditions of employment without regard to a person's race, color, religion, sex, age, national origin, disability, sexual orientation, gender identity and expression, pregnancy, veteran’s status, or other classifications protected under law. \xa0This includes providing reasonable accommodation for team members' disabilities or religious beliefs and practices."", '\n Each manager, supervisor and team member is responsible for carrying out this policy. The EEO Administrator in Human Resources is responsible for administration of this policy. The administrator will monitor compliance and is available to answer any questions on EEO matters.', '\n To request assistance with the application process, please contact Micron’s Human Resources Department at 1-800-336-8918 (or 208-368-4748).', '\n Keywords: \xa0SINGAPORE || North West (SG-03) || Singapore (SG) || Frontend Manufacturing || Experienced || Regular || Engineering || #LI-ST1 ||\n \xa0', '\nJob Segment: \n Manufacturing Engineer, Engineer, Electrical, Physics, Compliance, Engineering, Science, Legal\n \n \n ']"
